Airline,Source,Destination,Total_Stops,Additional_Info,Date,Month,Year,Arrival_Hour,Arrival_Minute,Departure_Hour,Departure_Minute,Price
0,3,0,5,0,8,24,3,2019,1,10,22,20,3897.0
1,1,3,0,2,8,1,5,2019,13,15,5,50,7662.0
2,4,2,1,2,8,9,6,2019,4,25,9,25,13882.0
3,3,3,0,1,8,12,5,2019,23,30,18,5,6218.0
4,3,0,5,1,8,1,3,2019,21,35,16,50,13302.0
5,8,3,0,0,8,24,6,2019,11,25,9,0,3873.0
6,4,0,5,1,5,12,3,2019,10,25,18,55,11087.0
7,4,0,5,1,8,1,3,2019,5,5,8,0,22270.0
8,4,0,5,1,5,12,3,2019,10,25,8,55,11087.0
9,6,2,1,1,8,27,5,2019,19,15,11,25,8625.0
10,1,2,1,1,8,1,6,2019,23,0,9,45,8907.0
11,3,3,0,0,8,18,4,2019,22,55,20,20,4174.0
12,1,1,4,0,8,24,6,2019,13,55,11,40,4667.0
13,4,3,0,1,5,9,5,2019,9,20,21,10,9663.0
14,3,3,0,0,8,24,4,2019,19,50,17,15,4804.0
15,1,2,1,2,8,3,3,2019,19,15,16,40,14011.0
16,8,2,1,1,8,15,4,2019,13,15,8,45,5830.0
17,4,2,1,1,5,12,6,2019,12,35,14,0,10262.0
18,1,2,1,2,8,12,6,2019,19,15,20,15,13381.0
19,4,2,1,1,5,27,5,2019,12,35,16,0,12898.0
20,2,2,1,1,8,6,3,2019,19,20,14,10,19495.0
21,1,0,5,1,8,21,3,2019,13,20,22,0,6955.0
22,3,0,2,0,8,3,4,2019,6,50,4,0,3943.0
23,3,0,2,0,8,1,5,2019,21,50,18,55,4823.0
24,4,3,0,1,5,6,5,2019,8,15,18,55,7757.0
25,4,2,1,2,8,9,6,2019,12,35,21,25,13292.0
26,3,2,1,1,8,1,6,2019,3,35,21,50,8238.0
27,2,2,1,1,8,15,5,2019,12,55,7,0,7682.0
28,10,0,2,0,8,18,6,2019,12,35,9,45,4668.0
29,10,1,4,0,8,15,6,2019,9,20,7,5,3687.0
30,10,1,4,0,8,18,6,2019,9,20,7,5,3687.0
31,1,3,0,2,8,1,5,2019,23,15,9,50,13227.0
32,3,0,2,0,8,6,4,2019,6,50,4,0,4423.0
33,4,2,1,2,5,15,6,2019,12,35,14,35,10919.0
34,4,2,1,1,5,18,5,2019,12,35,7,5,12373.0
35,3,2,1,1,8,27,6,2019,21,0,10,35,5894.0
36,8,3,0,1,8,21,5,2019,20,20,15,5,4649.0
37,1,3,0,0,8,18,5,2019,16,45,14,15,6245.0
38,4,0,5,1,8,6,3,2019,13,15,7,0,19225.0
39,4,2,1,1,8,3,6,2019,19,0,7,5,14924.0
40,6,2,1,1,8,21,5,2019,18,10,7,5,9646.0
41,1,0,5,1,8,15,3,2019,15,15,6,45,8714.0
42,4,2,1,1,5,18,5,2019,19,0,20,55,12373.0
43,0,0,2,0,8,6,5,2019,13,55,11,10,3383.0
44,6,2,1,1,8,21,3,2019,21,0,9,0,13062.0
45,8,0,5,0,7,24,3,2019,8,35,5,45,3527.0
46,3,0,2,0,8,27,5,2019,6,50,4,0,3943.0
47,1,1,4,0,8,3,5,2019,13,55,11,40,4667.0
48,1,3,0,1,8,15,5,2019,11,5,19,0,6117.0
49,4,2,1,2,5,27,6,2019,19,0,23,5,11150.0
50,4,2,1,0,5,9,3,2019,14,15,11,0,7202.0
51,4,3,0,1,8,1,5,2019,10,55,9,35,12121.0
52,3,0,5,0,8,24,3,2019,1,10,22,20,4377.0
53,3,0,2,0,8,18,6,2019,0,15,21,15,3943.0
54,0,0,2,0,8,3,4,2019,2,45,23,55,4483.0
55,4,3,0,1,8,24,3,2019,12,0,19,45,14231.0
56,1,0,5,2,8,1,3,2019,23,55,8,50,17345.0
57,10,1,4,0,8,6,3,2019,9,20,7,5,7414.0
58,6,2,1,1,8,6,5,2019,1,30,19,0,8073.0
59,10,4,3,1,8,6,3,2019,16,45,15,40,12395.0
60,1,3,0,1,8,6,6,2019,21,50,9,25,8366.0
61,1,2,1,1,8,3,4,2019,9,25,6,5,5117.0
62,6,2,1,1,8,3,6,2019,19,0,8,45,12524.0
63,3,2,1,1,8,15,5,2019,1,30,15,0,7191.0
64,10,1,4,0,8,24,5,2019,9,20,7,5,3687.0
65,3,2,1,1,8,24,6,2019,21,0,10,35,5894.0
66,10,0,2,0,8,24,4,2019,12,35,9,45,5403.0
67,1,4,3,0,8,6,5,2019,15,25,13,55,3625.0
68,1,2,1,2,8,21,5,2019,19,15,5,55,10861.0
69,3,1,4,0,8,12,3,2019,15,35,13,20,6297.0
70,4,4,3,0,8,1,6,2019,8,30,7,5,5678.0
71,4,0,5,1,5,9,3,2019,8,15,5,45,9134.0
72,6,2,1,1,5,24,6,2019,19,0,11,40,10791.0
73,4,2,1,2,8,24,6,2019,12,35,23,5,12819.0
74,3,2,1,1,8,21,3,2019,10,5,5,5,6893.0
75,10,0,5,0,8,9,3,2019,12,35,9,50,7240.0
76,2,0,2,0,8,3,4,2019,14,30,11,40,3898.0
77,3,4,3,0,8,3,4,2019,7,55,6,25,4049.0
78,4,2,1,1,5,15,6,2019,12,35,17,30,10262.0
79,8,1,4,0,7,21,3,2019,10,35,8,20,3332.0
80,4,3,0,1,5,9,6,2019,12,0,21,10,10844.0
81,4,0,5,0,8,24,3,2019,22,35,19,55,7229.0
82,4,3,0,1,8,6,5,2019,4,40,6,30,13941.0
83,3,2,1,1,8,27,6,2019,21,0,11,25,5894.0
84,6,2,1,1,8,18,5,2019,19,0,9,0,10197.0
85,4,0,5,1,5,6,3,2019,11,25,14,5,13712.0
86,3,2,1,1,8,24,6,2019,7,25,2,0,5636.0
87,4,2,1,2,8,6,6,2019,4,25,9,40,13014.0
88,4,3,0,1,5,1,4,2019,20,45,8,25,7064.0
89,4,3,0,1,5,24,5,2019,14,25,20,25,10703.0
90,6,2,1,1,8,27,5,2019,22,30,13,15,9646.0
91,6,2,1,1,8,6,3,2019,13,20,2,15,17057.0
92,4,0,5,1,8,12,3,2019,10,25,16,55,13817.0
93,1,2,1,2,8,6,3,2019,19,15,5,55,13748.0
94,1,3,0,0,8,21,4,2019,23,20,20,45,4880.0
95,3,1,4,0,8,21,6,2019,7,40,5,15,3540.0
96,8,0,2,0,7,15,5,2019,8,35,5,55,3257.0
