,Survived,Age,SibSp,Parch,Fare,Sex_male,Embark_Q,Embark_S,Pclass_2,Pclass_3
0,0,22.0,1,0,7.25,1,0,1,0,1
1,1,38.0,1,0,71.2833,0,0,0,0,0
2,1,26.0,0,0,7.925,0,0,1,0,1
3,1,35.0,1,0,53.1,0,0,1,0,0
4,0,35.0,0,0,8.05,1,0,1,0,1
6,0,54.0,0,0,51.8625,1,0,1,0,0
7,0,2.0,3,1,21.075,1,0,1,0,1
8,1,27.0,0,2,11.1333,0,0,1,0,1
9,1,14.0,1,0,30.0708,0,0,0,1,0
10,1,4.0,1,1,16.7,0,0,1,0,1
11,1,58.0,0,0,26.55,0,0,1,0,0
12,0,20.0,0,0,8.05,1,0,1,0,1
13,0,39.0,1,5,31.275,1,0,1,0,1
14,0,14.0,0,0,7.8542,0,0,1,0,1
15,1,55.0,0,0,16.0,0,0,1,1,0
16,0,2.0,4,1,29.125,1,1,0,0,1
18,0,31.0,1,0,18.0,0,0,1,0,1
20,0,35.0,0,0,26.0,1,0,1,1,0
21,1,34.0,0,0,13.0,1,0,1,1,0
22,1,15.0,0,0,8.0292,0,1,0,0,1
23,1,28.0,0,0,35.5,1,0,1,0,0
24,0,8.0,3,1,21.075,0,0,1,0,1
25,1,38.0,1,5,31.3875,0,0,1,0,1
27,0,19.0,3,2,263.0,1,0,1,0,0
30,0,40.0,0,0,27.7208,1,0,0,0,0
33,0,66.0,0,0,10.5,1,0,1,1,0
34,0,28.0,1,0,82.1708,1,0,0,0,0
35,0,42.0,1,0,52.0,1,0,1,0,0
37,0,21.0,0,0,8.05,1,0,1,0,1
38,0,18.0,2,0,18.0,0,0,1,0,1
39,1,14.0,1,0,11.2417,0,0,0,0,1
40,0,40.0,1,0,9.475,0,0,1,0,1
41,0,27.0,1,0,21.0,0,0,1,1,0
43,1,3.0,1,2,41.5792,0,0,0,1,0
44,1,19.0,0,0,7.8792,0,1,0,0,1
49,0,18.0,1,0,17.8,0,0,1,0,1
50,0,7.0,4,1,39.6875,1,0,1,0,1
51,0,21.0,0,0,7.8,1,0,1,0,1
52,1,49.0,1,0,76.7292,0,0,0,0,0
53,1,29.0,1,0,26.0,0,0,1,1,0
54,0,65.0,0,1,61.9792,1,0,0,0,0
56,1,21.0,0,0,10.5,0,0,1,1,0
